gid_1,province,year,month,burned_area_ha,fire_count
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2010,9,363.0,3
IDN.12_1,Kalimantan Barat,2010,10,214.0,2
IDN.12_1,Kalimantan Barat,2011,2,597.0,7
IDN.12_1,Kalimantan Barat,2011,4,619.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,5,64.0,1
IDN.12_1,Kalimantan Barat,2011,6,2586.0,9
IDN.13_1,Kalimantan Selatan,2011,6,2223.0,14
IDN.14_1,Kalimantan Tengah,2011,6,3226.0,18
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,6,705.0,5
IDN.12_1,Kalimantan Barat,2011,7,3649.0,22
IDN.13_1,Kalimantan Selatan,2011,7,7495.0,46
IDN.14_1,Kalimantan Tengah,2011,7,3309.0,23
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,7,1472.0,13
IDN.12_1,Kalimantan Barat,2011,8,16291.0,94
IDN.13_1,Kalimantan Selatan,2011,8,11271.0,73
IDN.14_1,Kalimantan Tengah,2011,8,44149.0,212
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,8,3887.0,24
IDN.12_1,Kalimantan Barat,2011,9,5402.0,35
IDN.13_1,Kalimantan Selatan,2011,9,12273.0,65
IDN.14_1,Kalimantan Tengah,2011,9,28030.0,165
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,9,406.0,4
IDN.12_1,Kalimantan Barat,2011,10,107.0,1
IDN.13_1,Kalimantan Selatan,2011,10,2697.0,17
IDN.14_1,Kalimantan Tengah,2011,10,3729.0,30
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2011,10,277.0,3
IDN.12_1,Kalimantan Barat,2012,3,297.0,2
IDN.12_1,Kalimantan Barat,2012,4,299.0,2
IDN.12_1,Kalimantan Barat,2012,5,533.0,4
IDN.12_1,Kalimantan Barat,2012,6,3951.0,24
IDN.14_1,Kalimantan Tengah,2012,6,300.0,3
IDN.12_1,Kalimantan Barat,2012,7,2135.0,17
IDN.13_1,Kalimantan Selatan,2012,7,85.0,1
IDN.14_1,Kalimantan Tengah,2012,7,255.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2012,7,1837.0,9
IDN.12_1,Kalimantan Barat,2012,8,17557.0,89
IDN.13_1,Kalimantan Selatan,2012,8,4890.0,43
IDN.14_1,Kalimantan Tengah,2012,8,9291.0,55
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2012,8,2050.0,14
IDN.12_1,Kalimantan Barat,2012,9,21028.0,114
IDN.13_1,Kalimantan Selatan,2012,9,26986.0,112
IDN.14_1,Kalimantan Tengah,2012,9,39655.0,192
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2012,9,5703.0,30
IDN.12_1,Kalimantan Barat,2012,10,7839.0,58
IDN.13_1,Kalimantan Selatan,2012,10,3808.0,34
IDN.14_1,Kalimantan Tengah,2012,10,26753.0,179
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2012,10,1389.0,6
